"","carat","cut","color","clarity","depth","table","price","x","y","z"
"48152",0.56,"Ideal","H","VVS1",61.7,55,1941,5.3,5.33,3.28
"2038",0.7,"Very Good","E","VS1",63.4,56,3107,5.6,5.63,3.56
"5727",0.27,"Very Good","D","VVS2",64.6,53,575,4.04,4.1,2.63
"40782",0.43,"Good","F","VS1",61.4,61.1,1167,4.85,4.87,2.98
"22821",1.16,"Ideal","F","VVS2",60.5,58,10850,6.77,6.85,4.12
"8827",1.02,"Ideal","E","SI2",62.8,55,4478,6.43,6.4,4.03
"24132",3.24,"Premium","H","I1",62.1,58,12300,9.44,9.4,5.85
"23483",1.5,"Premium","F","SI1",61.4,59,11484,7.31,7.34,4.5
"48602",0.6,"Premium","D","SI1",60.4,60,1996,5.48,5.44,3.3
"21925",1.23,"Very Good","G","VVS2",62.2,57,9999,6.8,6.87,4.25
"49916",0.7,"Premium","F","SI1",62.6,55,2184,5.65,4.5,3
"39103",0.41,"Ideal","I","VVS2",61.6,57,1061,4.78,4.76,2.94
"15195",1.02,"Very Good","E","VS2",60.3,60,6103,6.58,6.48,3.94
"4279",0.8,"Ideal","E","VS2",62.2,57,3584,5.98,5.95,3.71
"22384",1.31,"Very Good","D","VS2",59.5,61,10409,7.16,7.19,4.27
"49653",0.82,"Good","J","SI1",57.4,59,2140,6.25,6.19,3.57
"31544",0.3,"Ideal","E","VVS2",62.3,57,766,4.29,4.31,2.68
"25594",1.54,"Premium","G","VS1",61.1,56,14438,7.54,7.48,4.59
"35862",0.4,"Ideal","F","VS1",61.8,54,917,4.75,4.77,2.94
"39581",0.5,"Ideal","J","VS1",62.5,57,1082,5.06,5.09,3.17
"2223",0.7,"Ideal","H","VS2",61.2,56,3145,5.72,5.75,3.51
"51670",0.7,"Ideal","F","SI2",62.1,57,2398,5.65,5.69,3.52
"7000",1,"Premium","F","SI2",62.6,58,4155,6.37,6.31,3.97
"29190",0.4,"Ideal","F","SI1",62,57,694,4.72,4.76,2.94
"49773",0.5,"Premium","F","VVS2",61.8,56,2160,5.15,5.11,3.17
"28851",0.41,"Very Good","D","SI2",62.7,58,683,4.75,4.78,2.99
"29455",0.4,"Premium","I","SI2",60.5,58,702,4.82,4.76,2.9
"32203",0.35,"Premium","E","SI1",61.1,59,788,4.56,4.5,2.77
"20424",1.6,"Ideal","H","SI2",61.5,55,8779,7.53,7.55,4.64
"16770",0.9,"Ideal","G","VVS1",61.5,56,6680,6.22,6.24,3.83
"19792",1.16,"Very Good","G","VVS2",62.3,59,8361,6.69,6.72,4.18
"32983",0.37,"Ideal","E","VS2",62.3,56,811,4.56,4.59,2.85
"50769",0.71,"Premium","I","VS2",60.4,60,2300,5.8,5.72,3.48
"36069",0.4,"Very Good","D","SI1",63.3,57,924,4.71,4.68,2.97
"16091",1.27,"Ideal","J","VVS2",62.2,54,6430,6.92,6.98,4.32
"44541",0.55,"Ideal","G","VS2",61.2,56.8,1604,5.28,5.31,3.24
"13953",1.09,"Premium","H","VS2",61.4,58,5677,6.64,6.58,4.06
"16011",1.33,"Premium","H","SI2",62.8,52,6405,7.15,7.06,4.46
"51790",0.7,"Ideal","G","SI1",60.9,57,2415,5.79,5.77,3.52
"3351",0.91,"Premium","E","SI2",60,60,3379,6.28,6.23,3.75
"49020",0.5,"Premium","F","VVS2",62.3,58,2052,5.06,5.11,3.17
"32479",0.35,"Ideal","F","VVS2",61.6,58,795,4.5,4.53,2.78
"43014",0.55,"Very Good","F","SI1",59.1,59,1370,5.36,5.4,3.18
"23546",1.5,"Ideal","H","VS1",61,56.8,11557,7.36,7.4,4.5
"11445",1.11,"Ideal","I","SI1",62.2,54,5006,6.64,6.68,4.14
"50576",0.73,"Premium","E","SI2",61.8,58,2278,5.76,5.71,3.54
"39884",0.42,"Ideal","G","VVS2",62.1,57,1103,4.8,4.77,2.97
"2494",0.91,"Ideal","F","SI2",61.7,55,3196,6.27,6.2,3.85
"53625",0.3,"Ideal","D","SI1",62,56,552,4.3,4.34,2.68
"17076",1.24,"Premium","H","SI1",60.2,60,6808,6.94,6.91,4.17
"29361",0.31,"Ideal","G","VS2",62.9,57,698,4.34,4.31,2.72
"37260",0.31,"Premium","F","IF",61.9,58,977,4.39,4.36,2.71
"39472",0.41,"Premium","E","VS1",61.8,58,1079,4.73,4.75,2.93
"12130",1.57,"Ideal","H","I1",62.8,56,5170,7.42,7.36,4.64
"6380",0.25,"Premium","E","VVS2",61.5,59,576,4.02,4.04,2.48
"27791",0.37,"Very Good","G","VS2",60.7,57,649,4.64,4.69,2.83
"4851",0.71,"Ideal","F","VS1",61.4,56,3710,5.75,5.78,3.54
"18700",0.41,"Very Good","D","SI2",59.9,60,619,4.78,4.8,2.87
"18742",1.02,"Very Good","G","VVS1",63,58,7657,6.4,6.43,4.04
"34727",0.41,"Ideal","E","VS2",62.3,54,875,4.74,4.8,2.97
"50356",0.61,"Ideal","F","VS1",61.9,57,2246,5.42,5.46,3.37
"14207",1.31,"Premium","I","VS1",61.9,56,5759,7.07,6.98,4.35
"24384",0.3,"Very Good","G","VVS2",62.9,55,638,4.28,4.31,2.7
"42878",0.4,"Very Good","D","VVS2",61.4,58.3,1359,4.73,4.74,2.9
"25288",2.01,"Very Good","G","SI2",61.3,60,13940,8.08,8.17,4.98
"3098",0.7,"Ideal","F","VS1",61.5,55,3319,5.73,5.75,3.53
"44037",0.42,"Ideal","D","VVS1",61.8,56,1547,4.79,4.82,2.97
"33027",0.3,"Ideal","D","VVS2",61.6,57,814,4.31,4.32,2.66
"50303",0.27,"Very Good","D","VVS1",61,61,544,4.14,4.15,2.53
"27456",1.14,"Very Good","D","IF",59.1,58,18112,6.83,6.9,4.06
"36675",0.3,"Premium","D","VVS2",60.7,59,950,4.34,4.33,2.63
"26846",2.01,"Premium","D","SI2",62.7,58,16776,8.06,7.99,5.03
"26063",1.77,"Premium","E","VS2",61.6,58,15278,7.78,7.71,4.77
"16341",1.11,"Premium","G","VS2",61.4,58,6534,6.7,6.66,4.1
"8164",1.03,"Premium","I","SI1",61.6,59,4362,6.46,6.49,3.99
"37512",0.31,"Ideal","F","VVS1",62.4,55,985,4.34,4.32,2.7
"52920",0.71,"Very Good","F","SI1",62.4,59,2590,5.64,5.7,3.54
"19937",1.23,"Premium","F","VS2",62.9,58,8486,6.82,6.76,4.27
"10918",1.11,"Ideal","I","SI1",62.2,56,4890,6.62,6.65,4.13
"22734",1.59,"Ideal","I","VS2",61.7,57,10752,7.47,7.52,4.62
"6159",0.91,"Ideal","G","SI1",62.6,56,3991,6.27,6.3,3.81
"21843",1,"Premium","F","VVS1",61,60,9901,6.43,6.39,3.91
"44915",0.53,"Premium","D","SI1",61,58,1631,5.18,5.22,3.17
"40959",0.42,"Premium","G","VVS1",62.7,58,1179,4.74,4.79,2.99
"42186",0.5,"Ideal","G","SI1",62.1,56,1286,5.09,5.05,3.15
"46393",0.58,"Ideal","H","VS1",62.3,57,1764,5.33,5.36,3.33
"4895",0.9,"Very Good","I","VS2",61.2,57,3720,6.15,6.2,3.78
"52040",0.71,"Good","D","SI1",56.8,62,2450,5.93,5.89,3.37
"4383",0.31,"Ideal","D","SI1",62.3,55,571,4.33,4.37,2.71
"5654",0.9,"Good","F","SI1",63.6,59,3881,6.12,6.07,3.88
"5681",1.01,"Good","F","SI2",62.5,59,3886,6.31,6.37,3.96
"28347",0.33,"Premium","F","VS2",62.4,58,666,4.37,4.41,2.74
"28301",0.32,"Good","I","SI1",63.1,56,432,4.36,4.39,2.76
"50478",0.7,"Very Good","F","SI1",62.3,57,2267,5.62,5.65,3.51
"1788",0.76,"Ideal","H","SI1",61.4,55,3050,5.82,5.9,3.6
"24680",1.58,"Very Good","G","VS2",59.6,58,13037,7.59,7.69,4.55
"19120",1,"Ideal","G","VVS2",60.8,57,7885,6.47,6.45,3.93
"35553",0.35,"Ideal","H","VVS2",59.2,56,906,4.65,4.6,2.74
"29568",0.41,"Good","E","SI1",63.2,58,705,4.68,4.72,2.97
"19157",1.02,"Ideal","F","VS1",61.5,56,7916,6.47,6.5,3.99
"9779",1,"Ideal","I","VS1",63.1,57,4664,6.32,6.39,4.01
"4635",0.74,"Ideal","D","VS2",61.4,58,3668,5.8,5.83,3.57
"26433",2.01,"Very Good","I","VS2",62.3,59,15965,8.02,8.1,5.02
"48216",0.57,"Ideal","E","VS2",60.4,57,1949,5.4,5.35,3.25
"3656",0.85,"Ideal","E","SI2",60.7,55,3441,6.14,6.19,3.74
"49472",0.64,"Very Good","E","VS2",63.4,54,2114,5.52,5.49,3.49
"43956",0.31,"Good","F","SI1",63.1,57,516,4.28,4.31,2.71
"10670",1.01,"Good","H","VS2",64.2,55,4839,6.38,6.34,4.08
"29919",0.33,"Ideal","H","VVS1",61.8,55,713,4.42,4.44,2.74
"53213",0.77,"Ideal","I","VS1",61.4,56,2635,5.86,5.9,3.61
"25916",2.2,"Premium","J","VS1",61.7,59,15064,8.3,8.34,5.13
"12901",1.06,"Ideal","H","VS2",61.2,55,5373,6.61,6.57,4.03
"51505",0.75,"Very Good","E","SI2",60.9,59,2383,5.83,5.9,3.57
"47634",0.51,"Premium","D","VS2",59.7,58,1882,5.24,5.18,3.11
"21230",1.6,"Ideal","I","SI1",62,55,9376,7.53,7.59,4.69
"42903",0.51,"Good","E","SI1",57.4,62,1361,5.29,5.24,3.02
"14527",1.01,"Premium","G","VS2",62.1,59,5864,6.43,6.38,3.98
"41661",0.5,"Ideal","D","SI2",61.6,57,1239,5.1,5.13,3.15
"16272",1.01,"Good","G","VS1",64,60,6509,6.29,6.33,4.04
"14771",1.17,"Ideal","F","SI1",62.2,56,5944,6.73,6.71,4.18
"23032",0.33,"Premium","D","SI2",62.7,58,631,4.41,4.39,2.76
"39168",0.4,"Premium","J","IF",62.2,61,1063,4.71,4.68,2.92
"31808",0.31,"Ideal","D","VS1",61.9,53,774,4.36,4.4,2.71
"53172",0.71,"Premium","E","SI1",60.8,60,2629,5.75,5.69,3.48
"8264",0.9,"Very Good","H","VS2",63,57,4381,6.09,6.13,3.85
"15042",0.3,"Ideal","G","VS1",61.9,56,605,4.29,4.34,2.67
"22658",1.14,"Ideal","E","VVS2",62.3,55,10703,6.71,6.68,4.17
"11213",1.15,"Ideal","H","SI2",62,56,4959,6.75,6.68,4.16
"52782",0.83,"Ideal","H","SI2",62.3,54,2565,6.04,6.07,3.77
"38985",0.39,"Premium","F","VS2",62.4,58,1053,4.65,4.61,2.89
"36357",0.34,"Very Good","F","VVS1",61,56,939,4.52,4.53,2.76
"13564",1.16,"Premium","H","SI1",61.2,57,5554,6.84,6.76,4.16
"47406",0.51,"Very Good","D","VS1",62.4,58,1849,5.13,5.16,3.21
"17497",1.01,"Premium","D","VS2",62.2,61,7032,6.43,6.37,3.98
"20656",1.53,"Ideal","J","VS1",62.4,54,8943,7.34,7.38,4.59
"47504",0.58,"Ideal","F","VS1",61.9,54,1865,5.37,5.33,3.31
"47156",0.52,"Ideal","G","VVS2",62.1,56,1833,5.14,5.16,3.2
"9017",1.2,"Premium","J","SI1",60.7,60,4514,6.88,6.92,4.19
"53618",0.3,"Very Good","D","SI1",61,61,552,4.27,4.29,2.61
"50567",0.7,"Very Good","F","SI1",63.1,54,2278,5.64,5.67,3.57
"23712",0.4,"Ideal","G","SI2",62,56,632,4.73,4.76,2.94
"36656",0.41,"Good","D","VVS2",63.3,59,949,4.71,4.73,2.99
"15227",1.25,"Very Good","H","SI1",62.4,55,6113,6.85,6.89,4.29
"3517",0.71,"Ideal","F","VS1",61.1,56,3404,5.75,5.78,3.52
"23187",1.5,"Premium","H","VS2",62.4,59,11194,7.32,7.29,4.56
"26376",2,"Good","I","VS1",58.8,65,15851,8.1,8.03,4.74
"26460",2.25,"Premium","J","SI1",61.8,61,16004,8.46,8.39,5.21
"6357",1,"Very Good","F","SI2",63.4,58,4036,6.31,6.25,3.98
"5459",0.76,"Very Good","E","VVS2",60.6,59,3833,5.85,5.94,3.57
"5468",0.77,"Ideal","D","VS2",61.1,57,3837,5.93,5.96,3.63
"22389",2.02,"Ideal","I","SI2",62.2,57,10412,8.06,7.99,4.99
"3986",0.9,"Very Good","G","SI1",63.2,62,3512,6.19,6.09,3.88
"41006",0.55,"Ideal","F","SI2",61.4,55,1183,5.27,5.29,3.24
"39039",0.37,"Ideal","G","IF",62.1,54,1056,4.6,4.64,2.87
"49711",0.53,"Premium","D","VS1",59.2,60,2147,5.37,5.31,3.16
"22803",1.04,"Ideal","F","VVS1",61.6,55,10825,6.5,6.53,4.02
"42149",0.5,"Premium","F","SI1",59.6,60,1282,5.12,5.15,3.06
"21727",2.01,"Premium","J","SI1",61.7,60,9793,8.12,8.09,5
"23467",1.51,"Good","E","SI1",63.1,58,11460,7.23,7.28,4.58
"44160",0.57,"Very Good","G","VS2",60.7,58,1565,5.31,5.37,3.24
"48018",0.5,"Ideal","H","VS2",62.3,55,1921,5.09,5.12,3.18
"2075",0.81,"Premium","H","VS1",61.7,58,3107,5.98,5.95,3.68
