snum,Genre,Title,Artist,duration_ms,explicit,popularity,total_tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,pop,Sissy That Walk,RuPaul,212693,FALSE,63,10,0.826,0.614,11,-4.22,1,0.0561,0.0191,0.0172,0.0865,0.591,126.046,4
2,r&b,Pressure,Ari Lennox,193279,TRUE,69,1,0.85,0.658,0,-5.558,1,0.221,0.139,0,0.063,0.832,144.445,4
3,hiphop,The Thrill,Wiz Khalifa,234333,TRUE,79,1,0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,4
4,pop,Can We Dance,The Vamps,192710,FALSE,66,15,0.64,0.82,1,-4.729,0,0.0464,0.00312,0,0.189,0.583,130.108,4
5,hiphop,Black Nostaljack AKA Come On,Camp Lo,251960,FALSE,36,15,0.755,0.751,0,-7.631,1,0.273,0.00654,0,0.0582,0.381,93.058,4
6,edm,Howl at the Moon - Radio Edit,Stadiumx,183750,FALSE,24,4,0.514,0.934,10,-3.201,0,0.0992,0.0525,0.00089,0.137,0.182,127.953,4
7,latin,Escríbeme En El Cielo,Sentidos Opuestos,250826,FALSE,45,10,0.656,0.512,2,-12.978,1,0.0263,0.312,0.000318,0.234,0.791,135.981,4
8,latin,Sin Tu Amor A Duo,Flex,209169,FALSE,53,15,0.694,0.543,6,-8.565,0,0.0462,0.000893,1.85E-06,0.334,0.938,170.806,4
9,latin,Amor del Bueno,Reyli Barba,242026,FALSE,73,12,0.77,0.373,1,-6.931,1,0.0328,0.317,0,0.217,0.293,131.975,4
10,rap,Show Stop,REASON,179233,TRUE,62,14,0.751,0.725,8,-4.495,1,0.0397,0.0755,0.00102,0.12,0.544,129.977,4
11,pop,2 On (feat. ScHoolboy Q),Tinashe,227000,TRUE,71,18,0.742,0.595,9,-7.51,1,0.107,0.15,0,0.111,0.431,101.013,4
12,hiphop,Feet On The Ground,Blu,297875,FALSE,39,8,0.693,0.648,4,-8.465,0,0.0931,0.00958,3.23E-05,0.846,0.815,88.005,4
